Term,Coeff,StdErr,P-value,OR,LOR,UOR
SIGMOID,-16.2635133868379,1702.527407717,0.992378267259213,8.64661017726328e-08,0,Inf
MENTAL,-1.06660215050545,0.385643773515649,0.00567884949449091,0.344175991062865,0.159152932798228,0.744297392083145
PSYCHOTH,-0.983157318297534,0.347957221769777,0.00472051144268587,0.37412799095866,0.186547055793733,0.750329470616422
PT,-0.777626664132997,0.289271051928319,0.00718322396302937,0.459495254792538,0.257645990022842,0.819480594897443
DME,-0.638424457831936,0.31301374850054,0.041389667312077,0.528123850293598,0.282394018416231,0.98767956493268
STRESMGT,-0.616049360665521,0.400347261558237,0.123856183144437,0.540073865580986,0.242502348580854,1.2027915687849
HEPTEST,-0.614943277755015,0.508179904807008,0.226244468097222,0.540671562544378,0.195674427049216,1.49393941228025
EXERCISE,-0.303506944969905,0.139665584266558,0.0297729728556795,0.738224762165239,0.558311564278558,0.976114116816
DIETNUTR,-0.24788828632422,0.117146469223428,0.0343401922550683,0.780447125025336,0.61743515708004,0.986496651471617
AnyService_0_1,-0.237395727948368,0.0739539263943616,0.00132712343951502,0.788679123884032,0.680244095851317,0.914399352003255
ETOHED,-0.153792399694128,0.542718164354135,0.776889899020639,0.85745000941982,0.289607497860804,2.53867915742783
TOBACED,-0.0775472235705264,0.194901802347078,0.690719798903046,0.925383323460149,0.626660201731931,1.36650499420812
COLON,-0.0674367174281118,0.326678972592893,0.836454137180334,0.934786874461887,0.486365605788495,1.79664534306364
DEPRESS,-0.0165010077577481,0.152516941944675,0.91384393804865,0.983634388124997,0.725035331909163,1.33446822095458
HOMEHLTH,-0.006652398859553,0.394288677346475,0.986538810685571,0.993369679360902,0.451477494447453,2.18567554752928
HIV,0.0431402932731239,0.630339200766854,0.945435534660751,1.0440843625888,0.29595788704972,3.68333537946674
CervicalCaScreen,0.121103784874977,0.247445626500701,0.624547393480575,1.12874205264136,0.688123144390016,1.85149799390981
GENETIC,0.250784902283725,0.91626809965105,0.784313228915436,1.28503364679896,0.205614690312287,8.03109676111868
OCCUPY,0.251975610733974,0.734967766720651,0.731719587835483,1.28656465853447,0.295833074063146,5.59521150848945
BONEDENS,0.285995464250289,0.356320614564853,0.422185622455118,1.33108641776376,0.65269471867422,2.71457850180572
MAMMO,0.301547782876409,0.199149115465061,0.129979969700623,1.35194971364082,0.907782516762876,2.01344264123004
CAM,0.361793395165789,0.924249049058628,0.695467754674628,1.43590224696642,0.226116550390149,9.11837395045027
SUBST,0.528229501593811,0.25717111823021,0.0399756823958142,1.69592701289461,1.01398414112792,2.83650238342613
RADTHER,1.98182084973282,1.12104198150484,0.0770879550900661,7.2559429457157,0.770848738581268,68.2996616539587
